Date,vol_BTC,vol_ETH,vol_BNB,vol_SP500,volUS10Y,vol_DJI,vol_Nas,volGold,vol_energy,vol_metal
2019/9/6,6.487346377,6.875554242,7.336956522,0.420316177,4.358974359,0.569009152,0.497928059,1.668227246,3.587671052,1.052192067
2019/9/9,3.708410127,4.710766676,2.910882221,0.672837703,5.828779599,0.516666164,1.041187886,1.190133962,2.307089124,0.958413201
2019/9/10,4.048330596,3.732296584,4.077933847,0.751160472,7.167431193,0.714916667,0.946416643,0.967779323,1.98508832,1.169445136
2019/9/11,3.430258303,4.151958312,7.057701478,0.853735342,2.578796562,0.92699867,0.966963251,0.751358224,3.821063921,0.932789206
2019/9/12,3.810813146,3.051915741,5.592734226,0.658565842,7.480314961,0.742096463,0.858874319,2.328485524,3.629370437,2.117412605
2019/9/13,2.584581468,2.065043344,3.010033445,0.479818048,7.469752762,0.307132528,0.555178285,1.378964039,1.682573071,1.385132366
2019/9/16,2.457218078,5.138860734,3.812316716,0.384261298,4.612045578,0.518192314,0.470810872,1.07102485,7.161679853,1.864646633
2019/9/17,1.177947566,8.904076623,5.740037951,0.415211099,3.038674033,0.467193886,0.636599529,0.918519652,6.256938094,1.494291471
2019/9/18,1.359607268,4.37200019,9.585958596,0.973150233,4.166666667,0.967986244,1.262461083,0.77950364,2.638297594,1.067675494
2019/9/19,5.755816789,9.263884474,8.93105044,0.626249256,4.029099049,0.767527632,0.783366807,1.293981927,2.458426546,0.671478932
2019/9/20,1.876591269,3.73853211,2.757009346,1.059132975,4.529616725,0.995245232,1.613845377,0.774126957,1.683109714,1.08868604
2019/9/23,4.045474222,5.934983597,5.666156202,0.565549606,5.977945444,0.666901917,0.673904952,0.998430498,2.20917335,0.864166457
2019/9/24,20.25393768,22.96590294,23.79762648,1.693858289,5.750605327,1.397803696,2.444215594,1.30490373,2.608180202,1.23498562
2019/9/25,5.74806698,7.186834004,45.41538462,1.238244882,6.275187104,0.966604142,2.240009022,2.328609728,2.454565194,0.843953076
2019/9/26,8.55055929,10.11181332,12.97858533,0.791571792,3.064230996,0.785500939,1.022003374,0.745412844,2.423204481,1.156954487
2019/9/27,4.585272881,8.274149778,5.878594249,1.410633435,3.082394784,1.106328241,2.134717076,1.439913874,2.922307968,0.805357748
2019/9/30,6.874449259,8.278347657,6.691919192,0.563703918,2.877697842,0.544380598,0.881998077,2.33582383,3.229620114,0.94139598
2019/10/1,3.592807159,6.212310843,3.217665615,1.830796701,8.80733945,1.821357285,1.904051722,1.900186712,2.536899288,1.304347826
2019/10/2,2.466493705,3.810950241,2.262727844,1.726341161,5.496564647,1.778928486,1.558115111,2.01467312,3.581160263,1.135199727
2019/10/3,3.666022439,5.683510943,3.375796178,1.896153067,5.867014342,1.762296458,2.31527545,1.572543618,3.036781434,1.168642839
2019/10/4,2.35883212,4.042129234,2.811501597,1.19173038,3.20470896,1.200584638,1.140557898,1.204035145,1.834628525,1.04770017
2019/10/7,6.055911985,7.171846333,5.732087227,0.819044573,3.897763578,0.873554745,0.933447075,1.409101409,2.408390568,0.988342625
2019/10/8,2.505224309,3.778072796,3.241895262,1.134093313,5.352480418,1.07785342,1.359893849,1.428846524,2.319476546,0.831636117
2019/10/9,6.224100295,8.144725914,11.46245059,0.750496677,4.284814115,0.662567121,0.812167692,0.779126307,2.070075377,0.595086288
2019/10/10,2.333485162,3.532182104,4.677695379,1.066664851,7.54491018,1.089948284,1.163640968,1.678661701,2.047803935,1.904443702
